epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.593,1.85198,3.87393,1.92551,0.00413,0.99569,0.62443,0.28235,1.19824,40.0499,1.25888,0.000273188,0.000273188,0.000273188
2,1974.44,1.69371,2.54049,1.65965,0.77227,0.7503,0.86444,0.40171,1.36354,36.4924,1.43791,0.000539948,0.000539948,0.000539948
3,3012.86,1.68226,2.37325,1.6369,0.72984,0.77018,0.8315,0.37411,1.34134,30.0016,1.35906,0.000795712,0.000795712,0.000795712
4,3476.44,1.66824,2.07112,1.58467,0.75399,0.70346,0.86788,0.39275,1.41716,26.0716,1.36018,0.00078352,0.00078352,0.00078352
5,3974.23,1.67678,1.85857,1.57417,0.81006,0.83812,0.92718,0.45439,1.34434,20.2613,1.28048,0.000767026,0.000767026,0.000767026
6,4471.26,1.65707,1.73979,1.56297,0.93622,0.95802,0.96772,0.50079,1.25495,19.3418,1.25709,0.000750533,0.000750533,0.000750533
7,4964.34,1.6351,1.58614,1.56454,0.95319,0.96401,0.98448,0.53263,1.22103,15.8359,1.22347,0.00073404,0.00073404,0.00073404
8,5487.67,1.61392,1.43316,1.46855,0.93298,0.9128,0.95588,0.45575,1.36537,11.5997,1.27254,0.000717546,0.000717546,0.000717546
9,5932.22,1.60182,1.32096,1.47395,0.97829,0.97922,0.98407,0.50703,1.30006,10.6105,1.22143,0.000701053,0.000701053,0.000701053
10,6373.51,1.57011,1.26696,1.45539,0.9608,0.96603,0.97635,0.53803,1.23664,9.7138,1.18747,0.000684559,0.000684559,0.000684559
11,6820.09,1.56484,1.23568,1.45223,0.95022,0.9548,0.96842,0.49534,1.35188,7.39453,1.25249,0.000668066,0.000668066,0.000668066
12,7317.13,1.59262,1.24745,1.47601,0.96138,0.95982,0.97814,0.53233,1.22397,7.89516,1.1726,0.000651573,0.000651573,0.000651573
13,7831.95,1.55505,1.17061,1.45028,0.98275,0.98179,0.98343,0.52446,1.27322,6.24991,1.19395,0.000635079,0.000635079,0.000635079
14,8341.56,1.50901,1.15058,1.43896,0.97842,0.97613,0.97634,0.51437,1.24663,5.92063,1.18944,0.000618586,0.000618586,0.000618586
15,40039.7,1.53848,1.10256,1.44215,0.96766,0.97954,0.97701,0.54993,1.1999,5.30423,1.1372,0.000602092,0.000602092,0.000602092
16,40528.9,1.5234,1.0831,1.43734,0.96314,0.96765,0.97011,0.52829,1.24581,4.22658,1.15989,0.000585599,0.000585599,0.000585599
17,41010.2,1.50884,1.04891,1.42713,0.97099,0.96083,0.96866,0.53777,1.21967,4.01103,1.13774,0.000569106,0.000569106,0.000569106
18,41491.7,1.47338,1.00335,1.37588,0.96678,0.97077,0.97632,0.52518,1.25591,3.81818,1.18639,0.000552612,0.000552612,0.000552612
19,41976.5,1.51513,1.00677,1.41963,0.964,0.97161,0.9737,0.52953,1.21841,3.52762,1.14017,0.000536119,0.000536119,0.000536119
20,42510.3,1.47568,0.9771,1.38673,0.97189,0.96975,0.96702,0.53309,1.25314,3.62783,1.15842,0.000519625,0.000519625,0.000519625
