epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.854,1.88294,3.96993,1.94735,0.85863,0.08108,0.47554,0.22964,1.53637,3.86586,1.66549,0.00023375,0.00023375,0.00023375
2,661.697,1.71421,2.68594,1.74949,0.70299,0.6998,0.82204,0.38091,1.75769,2.79343,1.86192,0.000462409,0.000462409,0.000462409
3,1294.1,1.69814,2.38474,1.70776,0.76209,0.76233,0.82805,0.37013,1.95226,2.41218,2.01329,0.000681644,0.000681644,0.000681644
4,2283.12,1.6722,2.20161,1.66663,0.7654,0.75754,0.82844,0.41616,1.7891,2.21969,1.86754,0.000671588,0.000671588,0.000671588
5,2736.35,1.6724,2.0486,1.6814,0.81035,0.81778,0.84934,0.4272,1.76229,1.98623,1.84744,0.000657451,0.000657451,0.000657451
6,3186.13,1.6737,1.94091,1.67644,0.88143,0.79017,0.86056,0.44124,1.71982,1.92073,1.81628,0.000643314,0.000643314,0.000643314
7,3614.79,1.65106,1.84672,1.63052,0.88801,0.86978,0.88,0.47522,1.70675,1.73373,1.77642,0.000629177,0.000629177,0.000629177
8,4043.28,1.6155,1.74743,1.62519,0.84818,0.87426,0.87441,0.44742,1.6954,2.03294,1.77913,0.00061504,0.00061504,0.00061504
9,9668.24,1.62371,1.70327,1.60082,0.85864,0.86524,0.86322,0.47862,1.65956,1.60388,1.7251,0.000600902,0.000600902,0.000600902
10,10088.6,1.569,1.60136,1.58149,0.90455,0.87868,0.88135,0.47441,1.67214,1.43113,1.77461,0.000586765,0.000586765,0.000586765
11,10562.4,1.57224,1.53184,1.58906,0.87902,0.86708,0.877,0.45723,1.7183,1.45306,1.78879,0.000572628,0.000572628,0.000572628
12,10997.7,1.53209,1.44962,1.53032,0.8925,0.87069,0.88666,0.46999,1.71712,1.37998,1.7281,0.000558491,0.000558491,0.000558491
13,11425.9,1.54876,1.45428,1.54483,0.87955,0.8822,0.88296,0.48854,1.66179,1.34512,1.73791,0.000544354,0.000544354,0.000544354
14,11860.2,1.539,1.38603,1.536,0.96502,0.86758,0.88153,0.44917,1.77144,1.39696,1.82212,0.000530216,0.000530216,0.000530216
15,12341.5,1.52563,1.40034,1.51969,0.88153,0.8822,0.88132,0.49333,1.62203,1.30509,1.6903,0.000516079,0.000516079,0.000516079
16,12763.9,1.48593,1.29879,1.51994,0.89308,0.88525,0.88742,0.48041,1.65352,1.1965,1.72182,0.000501942,0.000501942,0.000501942
17,13203.4,1.53168,1.28495,1.52987,0.89113,0.87014,0.87463,0.46711,1.71139,1.24139,1.78695,0.000487805,0.000487805,0.000487805
18,13564.2,1.49259,1.31414,1.53548,0.89689,0.88129,0.88466,0.47687,1.67785,1.18829,1.71798,0.000473668,0.000473668,0.000473668
19,13878.4,1.4906,1.2823,1.50556,0.89417,0.87174,0.86964,0.45441,1.73366,1.18026,1.78168,0.00045953,0.00045953,0.00045953
20,14188.5,1.48706,1.24723,1.50328,0.89029,0.8879,0.88588,0.49845,1.61187,1.14545,1.66725,0.000445393,0.000445393,0.000445393
21,14576.2,1.44825,1.15504,1.47492,0.90878,0.88902,0.88338,0.48492,1.67316,1.14611,1.73513,0.000431256,0.000431256,0.000431256
22,14959.2,1.42992,1.13572,1.48083,0.8827,0.89293,0.87437,0.4772,1.67271,1.12489,1.72643,0.000417119,0.000417119,0.000417119
23,15295.6,1.45577,1.15391,1.48273,0.9141,0.88429,0.88369,0.49384,1.62996,1.1192,1.72206,0.000402982,0.000402982,0.000402982
24,15679.6,1.43366,1.13436,1.47258,0.91015,0.89246,0.88772,0.48967,1.65673,1.11085,1.73226,0.000388844,0.000388844,0.000388844
25,16067.2,1.45405,1.1366,1.4991,0.88483,0.875,0.87039,0.45809,1.73849,1.09836,1.79429,0.000374707,0.000374707,0.000374707
26,16477.6,1.39799,1.08464,1.44604,0.88538,0.88123,0.88135,0.49172,1.63135,1.08872,1.68996,0.00036057,0.00036057,0.00036057
27,16899.3,1.40287,1.0913,1.4489,0.90182,0.88356,0.88245,0.48727,1.65346,1.0733,1.70435,0.000346433,0.000346433,0.000346433
