epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.673,1.83302,3.86377,1.94743,1,0.02293,0.36359,0.17433,1.54912,3.9644,1.65495,0.000234033,0.000234033,0.000234033
2,1054.8,1.69797,2.59808,1.72215,0.72972,0.52421,0.67165,0.29544,1.93655,3.20816,2.1292,0.000462687,0.000462687,0.000462687
3,1878.97,1.63727,2.30532,1.66895,0.73468,0.71969,0.74015,0.37206,1.7738,3.34261,1.96117,0.000681916,0.000681916,0.000681916
4,3447.05,1.66053,2.18125,1.68799,0.7848,0.68389,0.70588,0.34646,1.88501,4.05902,2.05886,0.000671588,0.000671588,0.000671588
5,3871.4,1.65259,2.00765,1.65619,0.89485,0.64322,0.73525,0.37436,1.87193,2.58579,2.03508,0.000657451,0.000657451,0.000657451
6,4462.54,1.6171,1.86203,1.63558,0.79656,0.7185,0.73858,0.39981,1.76359,2.28235,1.90927,0.000643314,0.000643314,0.000643314
7,6974.43,1.5925,1.80098,1.62825,0.86096,0.76159,0.75668,0.40204,1.75116,1.8838,1.86578,0.000629177,0.000629177,0.000629177
8,14605.5,1.62997,1.7229,1.62434,0.84787,0.72232,0.75227,0.38761,1.83042,1.85244,1.96207,0.00061504,0.00061504,0.00061504
9,15088.4,1.59059,1.63353,1.61197,0.85236,0.75821,0.75402,0.41322,1.73025,1.94992,1.8372,0.000600902,0.000600902,0.000600902
10,15573.9,1.58864,1.59378,1.59472,0.76119,0.76341,0.76084,0.40973,1.71597,1.75825,1.84678,0.000586765,0.000586765,0.000586765
11,16061.1,1.53229,1.51115,1.55534,0.868,0.76187,0.76638,0.43084,1.66194,1.62781,1.79308,0.000572628,0.000572628,0.000572628
12,16555.1,1.53976,1.42866,1.5615,0.75149,0.75758,0.75389,0.41895,1.70245,1.72876,1.83235,0.000558491,0.000558491,0.000558491
13,17072.3,1.56238,1.41383,1.58158,0.78614,0.77563,0.76866,0.41995,1.71577,1.55835,1.84539,0.000544354,0.000544354,0.000544354
14,17571.3,1.53678,1.37123,1.51927,0.78067,0.77125,0.76811,0.42209,1.66742,1.48029,1.7488,0.000530216,0.000530216,0.000530216
15,18064.7,1.48738,1.33749,1.52999,0.77157,0.76971,0.77228,0.4197,1.73872,1.49763,1.8231,0.000516079,0.000516079,0.000516079
16,18375.4,1.51793,1.28075,1.50408,0.7863,0.76207,0.77347,0.44105,1.68926,1.41395,1.79218,0.000501942,0.000501942,0.000501942
17,18882.4,1.49728,1.27466,1.50217,0.77703,0.76597,0.76393,0.42918,1.72623,1.43848,1.84744,0.000487805,0.000487805,0.000487805
18,19369.3,1.47824,1.29239,1.52655,0.77347,0.76284,0.76894,0.43625,1.69056,1.34155,1.78983,0.000473668,0.000473668,0.000473668
19,19799,1.46583,1.21209,1.47778,0.76652,0.75748,0.7668,0.42641,1.67771,1.37443,1.79615,0.00045953,0.00045953,0.00045953
20,20224.9,1.45152,1.21131,1.4799,0.76627,0.76292,0.7632,0.41988,1.68132,1.39746,1.79145,0.000445393,0.000445393,0.000445393
21,20680.1,1.44422,1.15866,1.47209,0.78949,0.76818,0.76879,0.43948,1.66159,1.30371,1.78148,0.000431256,0.000431256,0.000431256
22,21354,1.46066,1.18526,1.48079,0.77957,0.77277,0.76927,0.44473,1.65691,1.28807,1.76991,0.000417119,0.000417119,0.000417119
23,21795.8,1.4189,1.08737,1.45912,0.77379,0.77202,0.76987,0.44201,1.6802,1.24979,1.76711,0.000402982,0.000402982,0.000402982
24,22219.1,1.38964,1.07089,1.44354,0.77411,0.76417,0.76118,0.43586,1.6989,1.2646,1.78328,0.000388844,0.000388844,0.000388844
25,22616.8,1.40066,1.07229,1.44708,0.8072,0.77346,0.77444,0.44299,1.66587,1.3326,1.77498,0.000374707,0.000374707,0.000374707
26,23011.6,1.40682,1.02582,1.45841,0.81126,0.76176,0.75601,0.42806,1.67282,1.24196,1.77544,0.00036057,0.00036057,0.00036057
27,23455.1,1.3884,1.01827,1.43724,0.77059,0.77173,0.76654,0.44233,1.65714,1.28631,1.81378,0.000346433,0.000346433,0.000346433
28,23895.4,1.37777,1.00136,1.44065,0.79219,0.76706,0.76495,0.43789,1.63907,1.23289,1.73148,0.000332296,0.000332296,0.000332296
29,24391.1,1.36988,1.01683,1.41041,0.78648,0.77277,0.76833,0.44248,1.66636,1.29859,1.74744,0.000318158,0.000318158,0.000318158
30,25357.9,1.34827,0.98367,1.39187,0.77914,0.76992,0.76595,0.4383,1.66355,1.21995,1.74431,0.000304021,0.000304021,0.000304021
31,25855.8,1.31946,0.94443,1.39315,0.76939,0.78502,0.77063,0.44814,1.6341,1.19582,1.72631,0.000289884,0.000289884,0.000289884
32,26498.1,1.36079,0.93148,1.41069,0.77208,0.77781,0.77387,0.43973,1.65049,1.25183,1.73601,0.000275747,0.000275747,0.000275747
33,26983.2,1.34807,0.92696,1.40282,0.78289,0.76992,0.77117,0.44286,1.69522,1.16778,1.7634,0.00026161,0.00026161,0.00026161
34,27457.2,1.29437,0.89774,1.35771,0.79234,0.77129,0.77039,0.43627,1.67917,1.23106,1.72582,0.000247472,0.000247472,0.000247472
35,27936.2,1.31048,0.90132,1.37716,0.76869,0.77563,0.77171,0.44698,1.64014,1.18573,1.72962,0.000233335,0.000233335,0.000233335
36,28401.9,1.29267,0.85964,1.3859,0.791,0.77209,0.7705,0.44771,1.65002,1.15009,1.73194,0.000219198,0.000219198,0.000219198
